file_name,modulation_type,symbol_width,code_sequence
16APSK_data_1.csv,8,0.910537,4 4 4 5 7 4 2 4 2 3 4 3 4 5 4 4 5 4 5 2 2 2 4 5 4 4 4 2 5 4 4 4 5 5 4 4 5 7 2 2 2 5 4 2 4 4 3 2 2 2 2 4 4 4 4 5 4 4 5 4 4 4 3 2 2 5 4 2 5 4 4 4 4 5 4 2 4 2 2 5 4 5 2 5 4 2 4 2 2 4 4 4 5 5 2 4 5 4 4 4 5 4
16APSK_data_10.csv,9,0.804201,9 5 5 15 8 9 9 2 8 15 7 5 5 9 7 8 6 15 9 15 3 3 2 8 7 5 2 4 8 3 5 15 8 5 14 8 6 5 8 15 8 7 15 7 5 8 6 15 7 8 6 6 6 5 8 2 14 2 14 7 15 15 15 7 15 15 3 15 7 2 2 15 4 5 5 8 2 6 2 6 8 14 15 7 8 2 8 8 8 8
16APSK_data_100.csv,9,0.890222,11 2 4 7 0 15 5 6 9 11 7 0 3 14
16APSK_data_1000.csv,6,0.627057,9 9 6 6 6 4 4 5 6 9 5 7 10 2
16APSK_data_10000.csv,9,0.608572,6 6 13 5 2 11 15 5 11 9 9 12 12 4 14 5 3 8 0 2 4 13 8 14 5 6 7 5 3 8 6 2 15 12 2 8 8 15 14 14 10 14 6 2 6 8 7 6 8 2 8 8 8 15 8 14 15 2 8 7 7 15 2 6 7 5 7 2 15 8 15 7 7 7 2 8 7 2 8 7 3 2 7 8 2 8 8 6 3 2 8 8 8 2 8 8 2 2 14 6 6 5 2 7 7 6 2 7 5 8 2 6 6 4 2 8 6 2 6 15 15 2 8 8 15 8 6 6 8 8 3 15 5 8 8 8 8 15 15 2 8 7 2 2 15 2 15 7 8 2 2 8 8 2 2 8 7 6
16APSK_data_10001.csv,9,0.613586,6 13 12 7 8 15 15 15 7 7 12 13 7 7 15 7 7 7 5 15 13 8 12 7 12 7 5 15 13 12 12 8 13 7 7 6 7 12 12 13 7 7 5 6 12 2 8 7 7 7 2 12 7 7 5 6 12 7 7 12 15 2 12 12 15 15 15 12 12 2 7 7 2 12 12 12 15 15 12 12 12 12 12 12 15 12 13 8 15 12 12 15 15 15 8 12 2 7 12 7 7 7 7 15 7 7 12 12 12 7 12 7 8 7 8 15 12 12 12 15
16APSK_data_10002.csv,9,0.403867,2 5 8 15 14 7 2 2 5 4 1 6 8 13 9 2 11 3 15 14 14 7 8 2 8 2 14 2 15 8 7 7 7 2 15 8 15 2 2 15 2 6 6 7 8 8 8 2 2 7 8 8 2 8 8 8 8 8 7 8 3 8 2 8 8 2 5 7 6 2 8 2 15 8 8 3 2 2 2 8 7 2 2 2 2 8 8 8 2 2 8 8 15 8 7 8 7 2 8 2 2 2 2 15 8 2 6 7 8 7 8 2 8 2 6 6 6 6
16APSK_data_10003.csv,9,0.817131,14 11 6 3 7 9 14 2 6 15 14 14 14 6 6 2 8 15 15 2 8 7 2 15 15 6 6 2 6 6 15 15 6 6 2 8 15 6 6 7 2 8 2 8 8 2 8 6 8 8 6 6 8 8 2 15 2 8 6 7 5 8 2 8 2 2 15 8 8 8 2 8 8 6 2 15 8 6 6 6 6 6 6 6
16APSK_data_10004.csv,9,0.318876,7 5 5 3 5 7 6 14 3 7 3 8 8 4 11 7 2 13 15 15 8 2 6 15 15 8 2 6 8 15 7 8 2 6 8 8 8 7 8 2 6 2 6 7 8 7 7 8 2 6 8 8 2 8 8 2 8 7 8 8 8 8 2 6 8 2
16APSK_data_10005.csv,9,0.452368,7 7 15 5 6 10 9 14 9 0 2 8 11 14 4 15 8 14 2 14 1 8 3 3 2 3 2 2 3 6 8 7 2 7 5 8 15 3 4 8 5 8 7 7 7 15 8 15 8 2 8 2 6 2 2 2 15 15 8 8 7 8 7 2 15 8 8 15 7 6 2 2 8 2 2 8 2 8 8 8 2 8 8 15 3 2 7 2 7 8 8 4 8 7 2 15 8 7 8 6 2 2 15 8 8 2 2 8 2 8 8 8 2 2 8 8 8 8 8 2 6 2
16APSK_data_10006.csv,9,0.758522,9 7 14 5 14 6 7 15 8 10 5 11 11 8 15 8 7 11 6 4 5 4 8 15 4 5 15 7 4 14 11 15 15 7 6 6 8 8 8 2 4 0 4 5 6 8 8 8 7 15 7 6 4 6 4 7 7 7 15 6 6 8 4 2 15 8 8 6 8 4 6 15 8 8 8 6 6 6
16APSK_data_10007.csv,6,0.755109,9 10 5 4 4 5 2 3 9 5 9 9 9 2 6 9 5 6 9 9 2 6 9 6 5 5 2 9 9 5 5 9 9 2 2 2 5 9 2 9 9 5 9 9 9 9 6 9 2 2 2 2 9 9 15 6 9 6 9 6 9 9 2 9 9 9 2 2 2 2 9 2 2 2 2 5 9 2 9 5 5 5 9 11
16APSK_data_10008.csv,9,1.000000,3 7 5 7 1 7 4 2 15 8 6 15 5 4 5 4 8 6 2 5 6 8 15 15 15 8 15 8 4 15 8 8 4 4 4 5 6 6 4 6 8 4 8 4 6 8 8 8 8 8 8 8 8 8 6 8
16APSK_data_10009.csv,7,0.553567,0 25 11 0 12 20 0 16 0 12 29 16 20 16 18 12 11 28 25 11 11 17 12 9 11 12 0 0 0 26 20 29 20 11 29 29 29 20 0 29 0 16 20 20 12 29 0 30 29 29 17 12 12 11 20 20 20 20 29 9 12 17 29 0 20 20 20 17 17 12 20 20 11 29 29 26 20
